# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.203
 8.8571      0.026         11.606
 8.7857      0.032         14.967
 8.7143      0.038         18.280
 8.6429      0.045         21.535
 8.5714      0.051         24.720
 8.5000      0.057         27.819
 8.4286      0.063         30.809
 8.3571      0.069         33.656
 8.2857      0.075         36.305
 8.2143      0.082         38.657
 8.1429      0.088         40.509
 8.0714      0.094         41.276
 8.0000      0.100         34.454
