# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.395
 8.8571      0.026         11.419
 8.7857      0.032         14.406
 8.7143      0.038         17.349
 8.6429      0.045         20.241
 8.5714      0.051         23.071
 8.5000      0.057         25.825
 8.4286      0.063         28.481
 8.3571      0.069         31.010
 8.2857      0.075         33.361
 8.2143      0.082         35.447
 8.1429      0.088         37.082
 8.0714      0.094         37.739
 8.0000      0.100         31.656
