# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.706
 8.8571      0.026         11.336
 8.7857      0.032         15.912
 8.7143      0.038         20.423
 8.6429      0.045         24.860
 8.5714      0.051         29.205
 8.5000      0.057         33.440
 8.4286      0.063         37.534
 8.3571      0.069         41.443
 8.2857      0.075         45.096
 8.2143      0.082         48.370
 8.1429      0.088         51.005
 8.0714      0.094         52.258
 8.0000      0.100         42.342
