# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.693
 8.8571      0.026         10.658
 8.7857      0.032         13.583
 8.7143      0.038         16.463
 8.6429      0.045         19.290
 8.5714      0.051         22.051
 8.5000      0.057         24.734
 8.4286      0.063         27.315
 8.3571      0.069         29.765
 8.2857      0.075         32.033
 8.2143      0.082         34.031
 8.1429      0.088         35.575
 8.0714      0.094         36.155
 8.0000      0.100         30.909
