# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.058
 8.8571      0.026         11.219
 8.7857      0.032         14.338
 8.7143      0.038         17.410
 8.6429      0.045         20.424
 8.5714      0.051         23.370
 8.5000      0.057         26.231
 8.4286      0.063         28.986
 8.3571      0.069         31.601
 8.2857      0.075         34.023
 8.2143      0.082         36.158
 8.1429      0.088         37.813
 8.0714      0.094         38.441
 8.0000      0.100         32.783
