# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.613
 8.8571      0.026          9.220
 8.7857      0.032         10.797
 8.7143      0.038         12.340
 8.6429      0.045         13.843
 8.5714      0.051         15.300
 8.5000      0.057         16.701
 8.4286      0.063         18.032
 8.3571      0.069         19.277
 8.2857      0.075         20.406
 8.2143      0.082         21.375
 8.1429      0.088         22.101
 8.0714      0.094         22.400
 8.0000      0.100         21.635
