# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.544
 8.8571      0.026         12.891
 8.7857      0.032         15.195
 8.7143      0.038         17.451
 8.6429      0.045         19.650
 8.5714      0.051         21.783
 8.5000      0.057         23.835
 8.4286      0.063         25.787
 8.3571      0.069         27.612
 8.2857      0.075         29.269
 8.2143      0.082         30.689
 8.1429      0.088         31.743
 8.0714      0.094         32.134
 8.0000      0.100         30.732
