# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.754
 8.8571      0.026         12.511
 8.7857      0.032         16.221
 8.7143      0.038         19.876
 8.6429      0.045         23.467
 8.5714      0.051         26.979
 8.5000      0.057         30.396
 8.4286      0.063         33.692
 8.3571      0.069         36.827
 8.2857      0.075         39.742
 8.2143      0.082         42.328
 8.1429      0.088         44.359
 8.0714      0.094         45.193
 8.0000      0.100         37.844
