# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.215
 8.8571      0.026         14.361
 8.7857      0.032         17.470
 8.7143      0.038         20.536
 8.6429      0.045         23.552
 8.5714      0.051         26.506
 8.5000      0.057         29.384
 8.4286      0.063         32.165
 8.3571      0.069         34.817
 8.2857      0.075         37.289
 8.2143      0.082         39.491
 8.1429      0.088         41.227
 8.0714      0.094         41.938
 8.0000      0.100         35.049
