# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.815
 8.8571      0.026          9.173
 8.7857      0.032         10.507
 8.7143      0.038         11.814
 8.6429      0.045         13.089
 8.5714      0.051         14.326
 8.5000      0.057         15.516
 8.4286      0.063         16.648
 8.3571      0.069         17.706
 8.2857      0.075         18.664
 8.2143      0.082         19.478
 8.1429      0.088         20.067
 8.0714      0.094         20.234
 8.0000      0.100         19.167
