# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.404
 8.8571      0.026         11.973
 8.7857      0.032         15.496
 8.7143      0.038         18.968
 8.6429      0.045         22.378
 8.5714      0.051         25.715
 8.5000      0.057         28.961
 8.4286      0.063         32.091
 8.3571      0.069         35.070
 8.2857      0.075         37.840
 8.2143      0.082         40.297
 8.1429      0.088         42.227
 8.0714      0.094         43.019
 8.0000      0.100         36.012
