# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.610
 8.8571      0.026         10.463
 8.7857      0.032         13.277
 8.7143      0.038         16.048
 8.6429      0.045         18.766
 8.5714      0.051         21.421
 8.5000      0.057         23.999
 8.4286      0.063         26.479
 8.3571      0.069         28.831
 8.2857      0.075         31.007
 8.2143      0.082         32.921
 8.1429      0.088         34.396
 8.0714      0.094         34.938
 8.0000      0.100         30.000
