# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.676
 8.8571      0.026          9.469
 8.7857      0.032         11.234
 8.7143      0.038         12.966
 8.6429      0.045         14.660
 8.5714      0.051         16.307
 8.5000      0.057         17.898
 8.4286      0.063         19.418
 8.3571      0.069         20.846
 8.2857      0.075         22.148
 8.2143      0.082         23.267
 8.1429      0.088         24.089
 8.0714      0.094         24.316
 8.0000      0.100         22.279
