# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.010
 8.8571      0.026         10.818
 8.7857      0.032         13.586
 8.7143      0.038         16.308
 8.6429      0.045         18.977
 8.5714      0.051         21.580
 8.5000      0.057         24.103
 8.4286      0.063         26.526
 8.3571      0.069         28.817
 8.2857      0.075         30.929
 8.2143      0.082         32.774
 8.1429      0.088         34.177
 8.0714      0.094         34.655
 8.0000      0.100         30.336
