# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.625
 8.8571      0.026         12.999
 8.7857      0.032         15.330
 8.7143      0.038         17.612
 8.6429      0.045         19.837
 8.5714      0.051         21.994
 8.5000      0.057         24.070
 8.4286      0.063         26.045
 8.3571      0.069         27.892
 8.2857      0.075         29.568
 8.2143      0.082         31.005
 8.1429      0.088         32.071
 8.0714      0.094         32.466
 8.0000      0.100         31.040
