# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.213
 8.8571      0.026         11.469
 8.7857      0.032         14.683
 8.7143      0.038         17.847
 8.6429      0.045         20.954
 8.5714      0.051         23.992
 8.5000      0.057         26.943
 8.4286      0.063         29.786
 8.3571      0.069         32.487
 8.2857      0.075         34.992
 8.2143      0.082         37.204
 8.1429      0.088         38.924
 8.0714      0.094         39.591
 8.0000      0.100         33.583
