# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.816
 8.8571      0.026          9.637
 8.7857      0.032         11.429
 8.7143      0.038         13.188
 8.6429      0.045         14.908
 8.5714      0.051         16.582
 8.5000      0.057         18.198
 8.4286      0.063         19.743
 8.3571      0.069         21.194
 8.2857      0.075         22.519
 8.2143      0.082         23.658
 8.1429      0.088         24.495
 8.0714      0.094         24.724
 8.0000      0.100         22.606
