# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          5.347
 8.8571      0.026          7.270
 8.7857      0.032          9.165
 8.7143      0.038         11.027
 8.6429      0.045         12.851
 8.5714      0.051         14.630
 8.5000      0.057         16.352
 8.4286      0.063         18.003
 8.3571      0.069         19.563
 8.2857      0.075         20.997
 8.2143      0.082         22.247
 8.1429      0.088         23.193
 8.0714      0.094         23.511
 8.0000      0.100         20.807
