# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.210
 8.8571      0.026          8.933
 8.7857      0.032         10.631
 8.7143      0.038         12.302
 8.6429      0.045         13.939
 8.5714      0.051         15.537
 8.5000      0.057         17.086
 8.4286      0.063         18.572
 8.3571      0.069         19.978
 8.2857      0.075         21.270
 8.2143      0.082         22.395
 8.1429      0.088         23.239
 8.0714      0.094         23.489
 8.0000      0.100         20.741
