# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.234
 8.8571      0.026         11.633
 8.7857      0.032         14.989
 8.7143      0.038         18.294
 8.6429      0.045         21.539
 8.5714      0.051         24.712
 8.5000      0.057         27.797
 8.4286      0.063         30.770
 8.3571      0.069         33.595
 8.2857      0.075         36.217
 8.2143      0.082         38.537
 8.1429      0.088         40.348
 8.0714      0.094         41.066
 8.0000      0.100         34.674
