# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.261
 8.8571      0.026         12.704
 8.7857      0.032         15.113
 8.7143      0.038         17.482
 8.6429      0.045         19.805
 8.5714      0.051         22.071
 8.5000      0.057         24.268
 8.4286      0.063         26.377
 8.3571      0.069         28.370
 8.2857      0.075         30.204
 8.2143      0.082         31.800
 8.1429      0.088         32.998
 8.0714      0.094         33.353
 8.0000      0.100         29.442
