# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.978
 8.8571      0.026         10.631
 8.7857      0.032         13.247
 8.7143      0.038         15.820
 8.6429      0.045         18.343
 8.5714      0.051         20.806
 8.5000      0.057         23.193
 8.4286      0.063         25.487
 8.3571      0.069         27.658
 8.2857      0.075         29.660
 8.2143      0.082         31.411
 8.1429      0.088         32.744
 8.0714      0.094         33.197
 8.0000      0.100         28.946
