# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.941
 8.8571      0.026         10.454
 8.7857      0.032         12.933
 8.7143      0.038         15.370
 8.6429      0.045         17.759
 8.5714      0.051         20.089
 8.5000      0.057         22.349
 8.4286      0.063         24.518
 8.3571      0.069         26.570
 8.2857      0.075         28.459
 8.2143      0.082         30.109
 8.1429      0.088         31.359
 8.0714      0.094         31.771
 8.0000      0.100         27.852
