# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.568
 8.8571      0.026         10.296
 8.7857      0.032         12.988
 8.7143      0.038         15.636
 8.6429      0.045         18.233
 8.5714      0.051         20.770
 8.5000      0.057         23.231
 8.4286      0.063         25.598
 8.3571      0.069         27.841
 8.2857      0.075         29.913
 8.2143      0.082         31.732
 8.1429      0.088         33.128
 8.0714      0.094         33.627
 8.0000      0.100         29.041
