 lambda   Irr_dw            Rad_up 
 630.512  1.3817968670e+00  3.3669001150e-02 
 631.338  1.3747185142e+00  3.3578730722e-02 
 632.164  1.3711667895e+00  3.3565675334e-02 
 632.991  1.3716103665e+00  3.3667235239e-02 
 633.817  1.3722823892e+00  3.3781587506e-02 
 634.643  1.3704763930e+00  3.3820068550e-02 
 635.470  1.3682493164e+00  3.3829089827e-02 
 636.296  1.3695690629e+00  3.3914715735e-02 
 637.122  1.3745663445e+00  3.4083494468e-02 
 637.948  1.3780005504e+00  3.4203809573e-02 
 638.775  1.3750877535e+00  3.4161033775e-02 
 639.601  1.3671327421e+00  3.3992735740e-02 
 640.427  1.3594516045e+00  3.3821890444e-02 
 641.253  1.3555787380e+00  3.3716420607e-02 
 642.079  1.3553029977e+00  3.3656374226e-02 
 642.905  1.3563860943e+00  3.3577616600e-02 
 643.732  1.3563330506e+00  3.3399726083e-02 
 644.558  1.3538075590e+00  3.3055721876e-02 
 645.384  1.3498328990e+00  3.2554062443e-02 
 646.210  1.3473507491e+00  3.2021102135e-02 
 647.036  1.3476360600e+00  3.1613826222e-02 
 647.862  1.3473524090e+00  3.1383233788e-02 
 648.688  1.3422706394e+00  3.1278058627e-02 
 649.514  1.3345455961e+00  3.1265683408e-02 
 650.340  1.3317572427e+00  3.1362566285e-02 
 651.166  1.3364494993e+00  3.1535624139e-02 
 651.992  1.3423114233e+00  3.1677000686e-02 
 652.818  1.3408289018e+00  3.1645442924e-02 
 653.644  1.3253845848e+00  3.1266984899e-02 
 654.470  1.2932552990e+00  3.0454848834e-02 
 655.296  1.2531001660e+00  2.9460210105e-02 
 656.122  1.2265927688e+00  2.8859380291e-02 
 656.948  1.2305956540e+00  2.9064547997e-02 
 657.774  1.2588949068e+00  2.9893962885e-02 
 658.599  1.2905896787e+00  3.0809806467e-02 
 659.425  1.3123164769e+00  3.1476074911e-02 
 660.251  1.3240353677e+00  3.1889899829e-02 
 661.077  1.3299773354e+00  3.2141733961e-02 
 661.903  1.3317024153e+00  3.2248788699e-02 
 662.728  1.3292012540e+00  3.2207110589e-02 
 663.554  1.3243024350e+00  3.2082544856e-02 
 664.380  1.3202532155e+00  3.1979343185e-02 
 665.206  1.3182670796e+00  3.1937063603e-02 
 666.031  1.3169401380e+00  3.1917786601e-02 
 666.857  1.3155150925e+00  3.1898168672e-02 
 667.683  1.3150291555e+00  3.1899970735e-02 
 668.508  1.3153412992e+00  3.1910673571e-02 
 669.334  1.3141326089e+00  3.1864959697e-02 
1182.792  4.3028554620e-01  6.1889194123e-03 
1188.701  4.2565497774e-01  6.1265779580e-03 
1194.595  4.2922804322e-01  6.3379980184e-03 
1200.475  4.1799972700e-01  6.0634515008e-03 
1206.341  4.1769929443e-01  6.3650145664e-03 
1212.193  4.1301209965e-01  6.2653511744e-03 
1218.030  4.1269097937e-01  6.6642877644e-03 
1223.854  4.0819839986e-01  6.7300788067e-03 
1229.663  4.0461014123e-01  6.9852646710e-03 
1235.458  4.0038876083e-01  7.0978314508e-03 
1241.240  3.9521509796e-01  7.1372347868e-03 
1247.008  3.9163672837e-01  7.0906335372e-03 
1252.762  3.8568697021e-01  6.7416916701e-03 
1258.503  3.7995300337e-01  6.1999698933e-03 
1264.230  3.7082624101e-01  5.5872649842e-03 
1269.944  3.6768786657e-01  5.5711152826e-03 
1275.644  3.6935273337e-01  5.8771206666e-03 
1281.331  3.4531568549e-01  5.7036135701e-03 
1287.004  3.6208509227e-01  6.0440590250e-03 
1292.665  3.6015888651e-01  5.7282587407e-03 
1298.312  3.5717121311e-01  5.2806672465e-03 
1503.952  2.3805727287e-01  2.2898031775e-03 
1509.148  2.4958645453e-01  2.7523969838e-03 
1514.333  2.4734372237e-01  2.9328021200e-03 
1519.509  2.4673544323e-01  2.9879872573e-03 
1524.675  2.4461687042e-01  3.2102477223e-03 
1529.831  2.4049834748e-01  3.1170488488e-03 
1534.978  2.4049743624e-01  2.9853202772e-03 
1540.114  2.3655772224e-01  3.1027640057e-03 
1545.242  2.3932204520e-01  3.1827187548e-03 
1550.360  2.3504437776e-01  3.2038213763e-03 
1555.468  2.3039664070e-01  3.0861884503e-03 
1560.567  2.3195258664e-01  3.2761755147e-03 
1565.657  2.2729475828e-01  3.1246099082e-03 
1570.738  2.2343776771e-01  3.0706356779e-03 
1575.809  2.1304681503e-01  3.0141562956e-03 
1580.872  2.2026288172e-01  2.9893531025e-03 
1585.926  2.1816547000e-01  3.0551288655e-03 
1590.971  2.1020574773e-01  3.0165420345e-03 
1596.007  2.1540535469e-01  3.1129047208e-03 
1601.035  2.1160575137e-01  3.0529702398e-03 
1606.054  2.1041077870e-01  3.2107819565e-03 
1611.064  2.0502946783e-01  3.0367579245e-03 
1616.066  2.0522986767e-01  2.9890314246e-03 
1621.060  2.0520040958e-01  3.1447781596e-03 
1626.045  2.0879416708e-01  3.2700595382e-03 
1631.023  2.0698107130e-01  3.2561458736e-03 
1635.992  2.0148490403e-01  2.9764886225e-03 
1640.954  1.9346501519e-01  2.7208465351e-03 
1645.907  1.9666826689e-01  3.0007111123e-03 
1650.852  1.9629795719e-01  3.0040333116e-03 
1655.790  1.9635291754e-01  3.0203681527e-03 
1660.720  1.9575249575e-01  2.9816613313e-03 
1665.643  1.9155144069e-01  2.7242411302e-03 
1670.558  1.8982862329e-01  2.8887731626e-03 
1675.466  1.8618403157e-01  3.0698947025e-03 
1680.366  1.7718747438e-01  2.9429358073e-03 
1685.259  1.8287216312e-01  2.9960194238e-03 
1690.145  1.8244650194e-01  2.8726299457e-03 
1695.024  1.8274766789e-01  2.9030070767e-03 
1699.896  1.7976343135e-01  2.6897094606e-03 
