# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.369
 8.8571      0.026          9.383
 8.7857      0.032         11.366
 8.7143      0.038         13.314
 8.6429      0.045         15.220
 8.5714      0.051         17.078
 8.5000      0.057         18.875
 8.4286      0.063         20.596
 8.3571      0.069         22.218
 8.2857      0.075         23.703
 8.2143      0.082         24.990
 8.1429      0.088         25.948
 8.0714      0.094         26.231
 8.0000      0.100         23.555
