# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.032
 8.8571      0.026         10.968
 8.7857      0.032         13.863
 8.7143      0.038         16.713
 8.6429      0.045         19.509
 8.5714      0.051         22.239
 8.5000      0.057         24.889
 8.4286      0.063         27.438
 8.3571      0.069         29.854
 8.2857      0.075         32.087
 8.2143      0.082         34.049
 8.1429      0.088         35.557
 8.0714      0.094         36.102
 8.0000      0.100         31.107
