# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.824
 8.8571      0.026          8.410
 8.7857      0.032          9.971
 8.7143      0.038         11.503
 8.6429      0.045         13.002
 8.5714      0.051         14.461
 8.5000      0.057         15.870
 8.4286      0.063         17.218
 8.3571      0.069         18.484
 8.2857      0.075         19.641
 8.2143      0.082         20.636
 8.1429      0.088         21.368
 8.0714      0.094         21.567
 8.0000      0.100         19.660
