# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.867
 8.8571      0.026         10.287
 8.7857      0.032         12.674
 8.7143      0.038         15.022
 8.6429      0.045         17.325
 8.5714      0.051         19.572
 8.5000      0.057         21.751
 8.4286      0.063         23.845
 8.3571      0.069         25.827
 8.2857      0.075         27.654
 8.2143      0.082         29.252
 8.1429      0.088         30.466
 8.0714      0.094         30.870
 8.0000      0.100         26.933
