# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.400
 8.8571      0.026         11.132
 8.7857      0.032         13.827
 8.7143      0.038         16.478
 8.6429      0.045         19.076
 8.5714      0.051         21.612
 8.5000      0.057         24.071
 8.4286      0.063         26.433
 8.3571      0.069         28.668
 8.2857      0.075         30.728
 8.2143      0.082         32.529
 8.1429      0.088         33.899
 8.0714      0.094         34.360
 8.0000      0.100         30.000
