# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.651
 8.8571      0.026         12.333
 8.7857      0.032         15.970
 8.7143      0.038         19.552
 8.6429      0.045         23.071
 8.5714      0.051         26.514
 8.5000      0.057         29.862
 8.4286      0.063         33.092
 8.3571      0.069         36.165
 8.2857      0.075         39.021
 8.2143      0.082         41.555
 8.1429      0.088         43.544
 8.0714      0.094         44.358
 8.0000      0.100         37.161
