# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.243
 8.8571      0.026         11.541
 8.7857      0.032         14.797
 8.7143      0.038         18.003
 8.6429      0.045         21.151
 8.5714      0.051         24.229
 8.5000      0.057         27.220
 8.4286      0.063         30.102
 8.3571      0.069         32.841
 8.2857      0.075         35.382
 8.2143      0.082         37.628
 8.1429      0.088         39.377
 8.0714      0.094         40.062
 8.0000      0.100         33.908
