# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.613
 8.8571      0.026          9.252
 8.7857      0.032         10.861
 8.7143      0.038         12.435
 8.6429      0.045         13.969
 8.5714      0.051         15.456
 8.5000      0.057         16.886
 8.4286      0.063         18.246
 8.3571      0.069         19.517
 8.2857      0.075         20.671
 8.2143      0.082         21.660
 8.1429      0.088         22.399
 8.0714      0.094         22.691
 8.0000      0.100         21.844
