# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.092
 8.8571      0.026         11.065
 8.7857      0.032         13.998
 8.7143      0.038         16.888
 8.6429      0.045         19.724
 8.5714      0.051         22.497
 8.5000      0.057         25.192
 8.4286      0.063         27.788
 8.3571      0.069         30.253
 8.2857      0.075         32.539
 8.2143      0.082         34.557
 8.1429      0.088         36.123
 8.0714      0.094         36.720
 8.0000      0.100         31.204
