# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.567
 8.8571      0.026         11.848
 8.7857      0.032         15.087
 8.7143      0.038         18.276
 8.6429      0.045         21.407
 8.5714      0.051         24.467
 8.5000      0.057         27.441
 8.4286      0.063         30.305
 8.3571      0.069         33.025
 8.2857      0.075         35.547
 8.2143      0.082         37.773
 8.1429      0.088         39.501
 8.0714      0.094         40.163
 8.0000      0.100         34.130
