# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.460
 8.8571      0.026         11.639
 8.7857      0.032         12.797
 8.7143      0.038         13.932
 8.6429      0.045         15.039
 8.5714      0.051         16.114
 8.5000      0.057         17.148
 8.4286      0.063         18.131
 8.3571      0.069         19.049
 8.2857      0.075         19.877
 8.2143      0.082         20.576
 8.1429      0.088         21.067
 8.0714      0.094         21.163
 8.0000      0.100         20.076
