# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         13.005
 8.8571      0.026         13.522
 8.7857      0.032         14.026
 8.7143      0.038         14.518
 8.6429      0.045         14.995
 8.5714      0.051         15.456
 8.5000      0.057         15.899
 8.4286      0.063         16.320
 8.3571      0.069         16.718
 8.2857      0.075         17.087
 8.2143      0.082         17.421
 8.1429      0.088         17.715
 8.0714      0.094         17.956
 8.0000      0.100         18.132
