# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.965
 8.8571      0.026         10.624
 8.7857      0.032         13.246
 8.7143      0.038         15.825
 8.6429      0.045         18.354
 8.5714      0.051         20.821
 8.5000      0.057         23.213
 8.4286      0.063         25.511
 8.3571      0.069         27.685
 8.2857      0.075         29.689
 8.2143      0.082         31.441
 8.1429      0.088         32.773
 8.0714      0.094         33.224
 8.0000      0.100         29.019
