# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.574
 8.8571      0.026         12.146
 8.7857      0.032         14.677
 8.7143      0.038         17.162
 8.6429      0.045         19.593
 8.5714      0.051         21.958
 8.5000      0.057         24.243
 8.4286      0.063         26.428
 8.3571      0.069         28.483
 8.2857      0.075         30.361
 8.2143      0.082         31.981
 8.1429      0.088         33.180
 8.0714      0.094         33.533
 8.0000      0.100         30.521
