# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         11.133
 8.8571      0.026         14.291
 8.7857      0.032         17.413
 8.7143      0.038         20.492
 8.6429      0.045         23.520
 8.5714      0.051         26.487
 8.5000      0.057         29.377
 8.4286      0.063         32.170
 8.3571      0.069         34.835
 8.2857      0.075         37.320
 8.2143      0.082         39.533
 8.1429      0.088         41.282
 8.0714      0.094         42.003
 8.0000      0.100         35.049
