# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.605
 8.8571      0.026         10.373
 8.7857      0.032         13.104
 8.7143      0.038         15.791
 8.6429      0.045         18.426
 8.5714      0.051         21.001
 8.5000      0.057         23.499
 8.4286      0.063         25.902
 8.3571      0.069         28.179
 8.2857      0.075         30.284
 8.2143      0.082         32.132
 8.1429      0.088         33.553
 8.0714      0.094         34.064
 8.0000      0.100         29.373
