# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.325
 8.8571      0.026          9.243
 8.7857      0.032         11.131
 8.7143      0.038         12.986
 8.6429      0.045         14.801
 8.5714      0.051         16.569
 8.5000      0.057         18.278
 8.4286      0.063         19.913
 8.3571      0.069         21.453
 8.2857      0.075         22.862
 8.2143      0.082         24.079
 8.1429      0.088         24.982
 8.0714      0.094         25.243
 8.0000      0.100         22.798
