# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.311
 8.8571      0.026         11.521
 8.7857      0.032         14.690
 8.7143      0.038         17.810
 8.6429      0.045         20.873
 8.5714      0.051         23.866
 8.5000      0.057         26.774
 8.4286      0.063         29.574
 8.3571      0.069         32.233
 8.2857      0.075         34.697
 8.2143      0.082         36.871
 8.1429      0.088         38.556
 8.0714      0.094         39.199
 8.0000      0.100         33.369
