# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.720
 8.8571      0.026          9.181
 8.7857      0.032         10.618
 8.7143      0.038         12.026
 8.6429      0.045         13.401
 8.5714      0.051         14.736
 8.5000      0.057         16.023
 8.4286      0.063         17.249
 8.3571      0.069         18.397
 8.2857      0.075         19.439
 8.2143      0.082         20.328
 8.1429      0.088         20.971
 8.0714      0.094         21.141
 8.0000      0.100         19.772
