# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.003
 8.8571      0.026         10.632
 8.7857      0.032         13.224
 8.7143      0.038         15.773
 8.6429      0.045         18.272
 8.5714      0.051         20.710
 8.5000      0.057         23.074
 8.4286      0.063         25.343
 8.3571      0.069         27.490
 8.2857      0.075         29.468
 8.2143      0.082         31.196
 8.1429      0.088         32.508
 8.0714      0.094         32.947
 8.0000      0.100         28.839
