# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.467
 8.8571      0.026          9.923
 8.7857      0.032         12.345
 8.7143      0.038         14.726
 8.6429      0.045         17.061
 8.5714      0.051         19.339
 8.5000      0.057         21.547
 8.4286      0.063         23.668
 8.3571      0.069         25.674
 8.2857      0.075         27.522
 8.2143      0.082         29.137
 8.1429      0.088         30.363
 8.0714      0.094         30.774
 8.0000      0.100         26.933
