# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.508
 8.8571      0.026         12.742
 8.7857      0.032         16.927
 8.7143      0.038         21.052
 8.6429      0.045         25.108
 8.5714      0.051         29.080
 8.5000      0.057         32.949
 8.4286      0.063         36.687
 8.3571      0.069         40.253
 8.2857      0.075         43.581
 8.2143      0.082         46.552
 8.1429      0.088         48.921
 8.0714      0.094         49.982
 8.0000      0.100         41.007
