# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.003
 8.8571      0.026         10.677
 8.7857      0.032         13.314
 8.7143      0.038         15.907
 8.6429      0.045         18.450
 8.5714      0.051         20.932
 8.5000      0.057         23.339
 8.4286      0.063         25.651
 8.3571      0.069         27.840
 8.2857      0.075         29.858
 8.2143      0.082         31.623
 8.1429      0.088         32.968
 8.0714      0.094         33.426
 8.0000      0.100         29.134
