# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.996
 8.8571      0.026         10.774
 8.7857      0.032         13.515
 8.7143      0.038         16.211
 8.6429      0.045         18.854
 8.5714      0.051         21.435
 8.5000      0.057         23.939
 8.4286      0.063         26.345
 8.3571      0.069         28.623
 8.2857      0.075         30.725
 8.2143      0.082         32.567
 8.1429      0.088         33.975
 8.0714      0.094         34.465
 8.0000      0.100         29.929
