# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.175
 8.8571      0.026         11.412
 8.7857      0.032         14.607
 8.7143      0.038         17.750
 8.6429      0.045         20.834
 8.5714      0.051         23.846
 8.5000      0.057         26.770
 8.4286      0.063         29.582
 8.3571      0.069         32.249
 8.2857      0.075         34.715
 8.2143      0.082         36.884
 8.1429      0.088         38.557
 8.0714      0.094         39.177
 8.0000      0.100         33.665
