# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.710
 8.8571      0.026          9.143
 8.7857      0.032         10.552
 8.7143      0.038         11.934
 8.6429      0.045         13.282
 8.5714      0.051         14.591
 8.5000      0.057         15.852
 8.4286      0.063         17.053
 8.3571      0.069         18.177
 8.2857      0.075         19.196
 8.2143      0.082         20.065
 8.1429      0.088         20.695
 8.0714      0.094         20.863
 8.0000      0.100         19.577
