# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.272
 8.8571      0.026         10.295
 8.7857      0.032         12.288
 8.7143      0.038         14.244
 8.6429      0.045         16.158
 8.5714      0.051         18.021
 8.5000      0.057         19.822
 8.4286      0.063         21.544
 8.3571      0.069         23.164
 8.2857      0.075         24.645
 8.2143      0.082         25.921
 8.1429      0.088         26.863
 8.0714      0.094         27.126
 8.0000      0.100         24.626
