# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.670
 8.8571      0.026         11.985
 8.7857      0.032         15.257
 8.7143      0.038         18.479
 8.6429      0.045         21.643
 8.5714      0.051         24.736
 8.5000      0.057         27.742
 8.4286      0.063         30.638
 8.3571      0.069         33.389
 8.2857      0.075         35.940
 8.2143      0.082         38.193
 8.1429      0.088         39.945
 8.0714      0.094         40.620
 8.0000      0.100         34.460
