# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.873
 8.8571      0.026          9.423
 8.7857      0.032         10.947
 8.7143      0.038         12.442
 8.6429      0.045         13.901
 8.5714      0.051         15.319
 8.5000      0.057         16.687
 8.4286      0.063         17.990
 8.3571      0.069         19.211
 8.2857      0.075         20.321
 8.2143      0.082         21.268
 8.1429      0.088         21.956
 8.0714      0.094         22.138
 8.0000      0.100         20.622
