# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.139
 8.8571      0.026         11.900
 8.7857      0.032         15.614
 8.7143      0.038         19.275
 8.6429      0.045         22.872
 8.5714      0.051         26.393
 8.5000      0.057         29.820
 8.4286      0.063         33.127
 8.3571      0.069         36.277
 8.2857      0.075         39.210
 8.2143      0.082         41.820
 8.1429      0.088         43.882
 8.0714      0.094         44.763
 8.0000      0.100         37.161
