# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.404
 8.8571      0.026         12.015
 8.7857      0.032         15.580
 8.7143      0.038         19.093
 8.6429      0.045         22.543
 8.5714      0.051         25.919
 8.5000      0.057         29.201
 8.4286      0.063         32.367
 8.3571      0.069         35.380
 8.2857      0.075         38.179
 8.2143      0.082         40.662
 8.1429      0.088         42.611
 8.0714      0.094         43.410
 8.0000      0.100         36.377
