# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         12.317
 8.7857      0.032         14.593
 8.7143      0.038         16.820
 8.6429      0.045         18.992
 8.5714      0.051         21.097
 8.5000      0.057         23.124
 8.4286      0.063         25.052
 8.3571      0.069         26.855
 8.2857      0.075         28.493
 8.2143      0.082         29.899
 8.1429      0.088         30.946
 8.0714      0.094         31.346
 8.0000      0.100         30.000
