# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         13.826
 8.7857      0.032         17.601
 8.7143      0.038         21.318
 8.6429      0.045         24.964
 8.5714      0.051         28.527
 8.5000      0.057         31.986
 8.4286      0.063         35.315
 8.3571      0.069         38.473
 8.2857      0.075         41.395
 8.2143      0.082         43.968
 8.1429      0.088         45.954
 8.0714      0.094         46.693
 8.0000      0.100         40.000
