# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.000
 8.8571      0.026          9.532
 8.7857      0.032         11.042
 8.7143      0.038         12.528
 8.6429      0.045         13.983
 8.5714      0.051         15.403
 8.5000      0.057         16.779
 8.4286      0.063         18.098
 8.3571      0.069         19.344
 8.2857      0.075         20.487
 8.2143      0.082         21.478
 8.1429      0.088         22.214
 8.0714      0.094         22.409
 8.0000      0.100         20.000
