# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         11.168
 8.7857      0.032         12.313
 8.7143      0.038         13.433
 8.6429      0.045         14.523
 8.5714      0.051         15.577
 8.5000      0.057         16.588
 8.4286      0.063         17.547
 8.3571      0.069         18.438
 8.2857      0.075         19.240
 8.2143      0.082         19.918
 8.1429      0.088         20.409
 8.0714      0.094         20.576
 8.0000      0.100         20.000
