# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.000
 8.8571      0.026         12.288
 8.7857      0.032         16.532
 8.7143      0.038         20.725
 8.6429      0.045         24.857
 8.5714      0.051         28.915
 8.5000      0.057         32.882
 8.4286      0.063         36.733
 8.3571      0.069         40.430
 8.2857      0.075         43.912
 8.2143      0.082         47.070
 8.1429      0.088         49.673
 8.0714      0.094         51.043
 8.0000      0.100         40.000
