# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.000
 8.8571      0.026         12.603
 8.7857      0.032         15.172
 8.7143      0.038         17.704
 8.6429      0.045         20.191
 8.5714      0.051         22.623
 8.5000      0.057         24.987
 8.4286      0.063         27.265
 8.3571      0.069         29.429
 8.2857      0.075         31.436
 8.2143      0.082         33.205
 8.1429      0.088         34.571
 8.0714      0.094         35.058
 8.0000      0.100         30.000
