# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.000
 8.8571      0.026         12.887
 8.7857      0.032         13.755
 8.7143      0.038         14.602
 8.6429      0.045         15.424
 8.5714      0.051         16.216
 8.5000      0.057         16.974
 8.4286      0.063         17.691
 8.3571      0.069         18.356
 8.2857      0.075         18.957
 8.2143      0.082         19.472
 8.1429      0.088         19.868
 8.0714      0.094         20.086
 8.0000      0.100         20.000
