# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         12.000
 8.8571      0.026         14.191
 8.7857      0.032         16.345
 8.7143      0.038         18.457
 8.6429      0.045         20.519
 8.5714      0.051         22.523
 8.5000      0.057         24.454
 8.4286      0.063         26.294
 8.3571      0.069         28.017
 8.2857      0.075         29.582
 8.2143      0.082         30.915
 8.1429      0.088         31.879
 8.0714      0.094         32.124
 8.0000      0.100         30.000
